Date,BRLUSDCurncy,CDXTEL15Index,CDXTHL15Index,CDXTIL15Index,CNYCNHCMPNCurncy,CNYUSDCurncy,CSIAIndex,CSIBARCIndex,CSIBBBIndex,EPUCNUSDIndex,EURUSDCurncy,FEDL01Index,JPMVXYEMIndex,JPMVXYG7Index,MOVEIndex,MXEFIndex,SPXIndex,TYVIXIndex,USDCADCurncy,USDKRWCurncy,USGG10YRIndex,USGG2YRIndex,USGG30YRIndex,USGG3MINDEX,USGG5YRIndex,V2XINDEX,VIXIndex
715879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,59.91,NaN,NaN,NaN,NaN,NaN,NaN,4.52,NaN,NaN,NaN
715880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,60.39,NaN,NaN,NaN,NaN,NaN,NaN,4.55,NaN,NaN,NaN
715881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,60.13,NaN,NaN,NaN,NaN,NaN,NaN,4.68,NaN,NaN,NaN
715882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,59.69,NaN,NaN,NaN,NaN,NaN,NaN,4.63,NaN,NaN,NaN
715883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,59.5,NaN,NaN,NaN,NaN,NaN,NaN,4.59,NaN,NaN,NaN
715886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.77,NaN,NaN,NaN,NaN,NaN,NaN,4.54,NaN,NaN,NaN
715887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.41,NaN,NaN,NaN,NaN,NaN,NaN,4.54,NaN,NaN,NaN
715888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.08,NaN,NaN,NaN,NaN,NaN,NaN,4.56,NaN,NaN,NaN
715889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.4,NaN,NaN,NaN,NaN,NaN,NaN,4.51,NaN,NaN,NaN
715890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.38,NaN,NaN,NaN,NaN,NaN,NaN,4.49,NaN,NaN,NaN
715893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.89,NaN,NaN,NaN,NaN,NaN,NaN,4.37,NaN,NaN,NaN
715894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.27,NaN,NaN,NaN,NaN,NaN,NaN,4.31,NaN,NaN,NaN
715895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.07,NaN,NaN,NaN,NaN,NaN,NaN,4.3,NaN,NaN,NaN
715896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.21,NaN,NaN,NaN,NaN,NaN,NaN,4.27,NaN,NaN,NaN
715897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.38,NaN,NaN,NaN,NaN,NaN,NaN,4.12,NaN,NaN,NaN
715900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.78,NaN,NaN,NaN,NaN,NaN,NaN,4.12,NaN,NaN,NaN
715901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.86,NaN,NaN,NaN,NaN,NaN,NaN,4.04,NaN,NaN,NaN
715902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,56.72,NaN,NaN,NaN,NaN,NaN,NaN,3.99,NaN,NaN,NaN
715903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.13,NaN,NaN,NaN,NaN,NaN,NaN,3.92,NaN,NaN,NaN
715904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.61,NaN,NaN,NaN,NaN,NaN,NaN,3.99,NaN,NaN,NaN
715907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.96,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN
715908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.82,NaN,NaN,NaN,NaN,NaN,NaN,3.96,NaN,NaN,NaN
715909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.32,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN
715910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.27,NaN,NaN,NaN,NaN,NaN,NaN,3.95,NaN,NaN,NaN
715911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.98,NaN,NaN,NaN,NaN,NaN,NaN,3.8,NaN,NaN,NaN
715914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.32,NaN,NaN,NaN,NaN,NaN,NaN,3.55,NaN,NaN,NaN
715915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.84,NaN,NaN,NaN,NaN,NaN,NaN,3.58,NaN,NaN,NaN
715916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.49,NaN,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN,NaN
715917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.18,NaN,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN,NaN
715918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.46,NaN,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN,NaN
715921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.17,NaN,NaN,NaN,NaN,NaN,NaN,3.96,NaN,NaN,NaN
715922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.73,NaN,NaN,NaN,NaN,NaN,NaN,4.04,NaN,NaN,NaN
715923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.03,NaN,NaN,NaN,NaN,NaN,NaN,4.07,NaN,NaN,NaN
715924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.8,NaN,NaN,NaN,NaN,NaN,NaN,4.04,NaN,NaN,NaN
715925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.24,NaN,NaN,NaN,NaN,NaN,NaN,4.08,NaN,NaN,NaN
715929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.94,NaN,NaN,NaN,NaN,NaN,NaN,4.06,NaN,NaN,NaN
715930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,55.74,NaN,NaN,NaN,NaN,NaN,NaN,4.13,NaN,NaN,NaN
715931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.93,NaN,NaN,NaN,NaN,NaN,NaN,4.17,NaN,NaN,NaN
715932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.16,NaN,NaN,NaN,NaN,NaN,NaN,4.19,NaN,NaN,NaN
715935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.12,NaN,NaN,NaN,NaN,NaN,NaN,4.19,NaN,NaN,NaN
715936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.01,NaN,NaN,NaN,NaN,NaN,NaN,4.09,NaN,NaN,NaN
715937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.62,NaN,NaN,NaN,NaN,NaN,NaN,3.98,NaN,NaN,NaN
715938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.78,NaN,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN,NaN
715939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.57,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN,NaN
715942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,54.02,NaN,NaN,NaN,NaN,NaN,NaN,3.54,NaN,NaN,NaN
715943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,53.47,NaN,NaN,NaN,NaN,NaN,NaN,3.56,NaN,NaN,NaN
715944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.04,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN,NaN
715945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,53.83,NaN,NaN,NaN,NaN,NaN,NaN,3.66,NaN,NaN,NaN
715946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.24,NaN,NaN,NaN,NaN,NaN,NaN,3.59,NaN,NaN,NaN
715949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.32,NaN,NaN,NaN,NaN,NaN,NaN,3.44,NaN,NaN,NaN
715950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.74,NaN,NaN,NaN,NaN,NaN,NaN,3.46,NaN,NaN,NaN
715951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.04,NaN,NaN,NaN,NaN,NaN,NaN,3.43,NaN,NaN,NaN
715952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.96,NaN,NaN,NaN,NaN,NaN,NaN,3.44,NaN,NaN,NaN
715953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.01,NaN,NaN,NaN,NaN,NaN,NaN,3.3,NaN,NaN,NaN
715956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.07,NaN,NaN,NaN,NaN,NaN,NaN,3.05,NaN,NaN,NaN
715957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,55.29,NaN,NaN,NaN,NaN,NaN,NaN,2.9,NaN,NaN,NaN
715958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,NaN,NaN,NaN,NaN,55.74,NaN,NaN,NaN,NaN,NaN,NaN,2.77,NaN,NaN,NaN
715959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.98,NaN,NaN,NaN,NaN,NaN,NaN,2.82,NaN,NaN,NaN
715960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.98,NaN,NaN,NaN,NaN,NaN,NaN,2.68,NaN,NaN,NaN
715963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.86,NaN,NaN,NaN,NaN,NaN,NaN,2.78,NaN,NaN,NaN
715964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,55.78,NaN,NaN,NaN,NaN,NaN,NaN,2.83,NaN,NaN,NaN
715965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.66,NaN,NaN,NaN,NaN,NaN,NaN,2.92,NaN,NaN,NaN
715966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.34,NaN,NaN,NaN,NaN,NaN,NaN,3.02,NaN,NaN,NaN
715967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.43,NaN,NaN,NaN,NaN,NaN,NaN,2.84,NaN,NaN,NaN
715970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.54,NaN,NaN,NaN,NaN,NaN,NaN,2.72,NaN,NaN,NaN
715971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,55.87,NaN,NaN,NaN,NaN,NaN,NaN,2.8,NaN,NaN,NaN
715972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.51,NaN,NaN,NaN,NaN,NaN,NaN,2.92,NaN,NaN,NaN
715973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.52,NaN,NaN,NaN,NaN,NaN,NaN,3.05,NaN,NaN,NaN
715974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.39,NaN,NaN,NaN,NaN,NaN,NaN,3.3,NaN,NaN,NaN
715977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.17,NaN,NaN,NaN,NaN,NaN,NaN,3.55,NaN,NaN,NaN
715978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.3,NaN,NaN,NaN,NaN,NaN,NaN,3.6,NaN,NaN,NaN
715979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,56.3,NaN,NaN,NaN,NaN,NaN,NaN,3.57,NaN,NaN,NaN
715980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.43,NaN,NaN,NaN,NaN,NaN,NaN,3.52,NaN,NaN,NaN
715984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,56.59,NaN,NaN,NaN,NaN,NaN,NaN,3.28,NaN,NaN,NaN
715985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,56.13,NaN,NaN,NaN,NaN,NaN,NaN,3.34,NaN,NaN,NaN
715986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,55.44,NaN,NaN,NaN,NaN,NaN,NaN,3.34,NaN,NaN,NaN
715987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.59,NaN,NaN,NaN,NaN,NaN,NaN,3.35,NaN,NaN,NaN
715988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.42,NaN,NaN,NaN,NaN,NaN,NaN,3.37,NaN,NaN,NaN
715991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.86,NaN,NaN,NaN,NaN,NaN,NaN,3.26,NaN,NaN,NaN
715992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,55.04,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN
715993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.04,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN
715994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.56,NaN,NaN,NaN,NaN,NaN,NaN,3.16,NaN,NaN,NaN
715995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.37,NaN,NaN,NaN,NaN,NaN,NaN,3.04,NaN,NaN,NaN
715998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.13,NaN,NaN,NaN,NaN,NaN,NaN,3.03,NaN,NaN,NaN
715999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.83,NaN,NaN,NaN,NaN,NaN,NaN,3.14,NaN,NaN,NaN
716000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.04,NaN,NaN,NaN,NaN,NaN,NaN,3.12,NaN,NaN,NaN
716001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.86,NaN,NaN,NaN,NaN,NaN,NaN,3.09,NaN,NaN,NaN
716002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.75,NaN,NaN,NaN,NaN,NaN,NaN,3.04,NaN,NaN,NaN
716005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.8,NaN,NaN,NaN,NaN,NaN,NaN,3.22,NaN,NaN,NaN
716006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.42,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN
716007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.57,NaN,NaN,NaN,NaN,NaN,NaN,3.31,NaN,NaN,NaN
716008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,54.85,NaN,NaN,NaN,NaN,NaN,NaN,3.36,NaN,NaN,NaN
716009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.3,NaN,NaN,NaN,NaN,NaN,NaN,3.44,NaN,NaN,NaN
716012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.25,NaN,NaN,NaN,NaN,NaN,NaN,3.62,NaN,NaN,NaN
716013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.46,NaN,NaN,NaN,NaN,NaN,NaN,3.54,NaN,NaN,NaN
716014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,55.44,NaN,NaN,NaN,NaN,NaN,NaN,3.67,NaN,NaN,NaN
716015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.68,NaN,NaN,NaN,NaN,NaN,NaN,3.42,NaN,NaN,NaN
716016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.83,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN
716019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.76,NaN,NaN,NaN,NaN,NaN,NaN,3.42,NaN,NaN,NaN
716020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,55.7,NaN,NaN,NaN,NaN,NaN,NaN,3.36,NaN,NaN,NaN
716021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,55.67,NaN,NaN,NaN,NaN,NaN,NaN,3.32,NaN,NaN,NaN
716022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,55.71,NaN,NaN,NaN,NaN,NaN,NaN,3.26,NaN,NaN,NaN
716023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,55.74,NaN,NaN,NaN,NaN,NaN,NaN,3.09,NaN,NaN,NaN
716027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,55.83,NaN,NaN,NaN,NaN,NaN,NaN,3.12,NaN,NaN,NaN
716028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,55.89,NaN,NaN,NaN,NaN,NaN,NaN,3.06,NaN,NaN,NaN
716029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN,NaN,NaN,56.13,NaN,NaN,NaN,NaN,NaN,NaN,2.92,NaN,NaN,NaN
716030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,56.23,NaN,NaN,NaN,NaN,NaN,NaN,2.65,NaN,NaN,NaN
716033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,56.89,NaN,NaN,NaN,NaN,NaN,NaN,2.62,NaN,NaN,NaN
716034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.43,NaN,NaN,NaN,NaN,NaN,NaN,2.68,NaN,NaN,NaN
716035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.89,NaN,NaN,NaN,NaN,NaN,NaN,2.75,NaN,NaN,NaN
716036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,2.63,NaN,NaN,NaN
716037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.97,NaN,NaN,NaN,NaN,NaN,NaN,2.38,NaN,NaN,NaN
716040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN,NaN,NaN,57.99,NaN,NaN,NaN,NaN,NaN,NaN,2.29,NaN,NaN,NaN
716041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,57.91,NaN,NaN,NaN,NaN,NaN,NaN,2.29,NaN,NaN,NaN
716042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,57.57,NaN,NaN,NaN,NaN,NaN,NaN,2.27,NaN,NaN,NaN
716043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.5,NaN,NaN,NaN,NaN,NaN,NaN,2.32,NaN,NaN,NaN
716044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.44,NaN,NaN,NaN,NaN,NaN,NaN,2.37,NaN,NaN,NaN
716047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.16,NaN,NaN,NaN,NaN,NaN,NaN,2.55,NaN,NaN,NaN
716048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.11,NaN,NaN,NaN,NaN,NaN,NaN,2.32,NaN,NaN,NaN
716049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.28,NaN,NaN,NaN,NaN,NaN,NaN,2.36,NaN,NaN,NaN
716050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.59,NaN,NaN,NaN,NaN,NaN,NaN,2.39,NaN,NaN,NaN
716051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN,NaN,NaN,57.68,NaN,NaN,NaN,NaN,NaN,NaN,2.35,NaN,NaN,NaN
716054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,57.33,NaN,NaN,NaN,NaN,NaN,NaN,2.31,NaN,NaN,NaN
716055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,NaN,NaN,NaN,NaN,56.94,NaN,NaN,NaN,NaN,NaN,NaN,2.2,NaN,NaN,NaN
716056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,56.94,NaN,NaN,NaN,NaN,NaN,NaN,2.14,NaN,NaN,NaN
